                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.87403,                0.63024,                  1.162,                0.84111,                 0.8179,                0.88408,                0.65558,                0.98632,                0.67486,                  1.218,               0.003763,               0.003763,               0.003763
                     66,                0.87392,                0.62674,                 1.1612,                0.84152,                 0.8177,                0.88386,                0.65583,                0.98674,                0.67507,                 1.2186,               0.003664,               0.003664,               0.003664
                     67,                0.86758,                0.62213,                 1.1566,                0.83961,                0.82065,                0.88364,                0.65579,                0.98697,                0.67434,                 1.2188,               0.003565,               0.003565,               0.003565
                     68,                0.85988,                0.61199,                 1.1515,                 0.8389,                0.82198,                0.88392,                0.65629,                0.98681,                0.67366,                 1.2189,               0.003466,               0.003466,               0.003466
                     69,                0.85576,                0.60742,                 1.1498,                0.83596,                0.82406,                0.88361,                0.65656,                 0.9868,                 0.6733,                  1.219,               0.003367,               0.003367,               0.003367
                     70,                0.85172,                0.60369,                  1.147,                 0.8355,                 0.8254,                0.88344,                0.65647,                 0.9867,                0.67325,                  1.219,               0.003268,               0.003268,               0.003268
                     71,                0.84606,                0.59781,                  1.143,                0.83535,                0.82592,                0.88338,                 0.6567,                0.98691,                0.67256,                 1.2196,               0.003169,               0.003169,               0.003169
                     72,                0.83976,                0.59863,                 1.1415,                0.83404,                0.82699,                0.88353,                0.65696,                0.98703,                0.67245,                   1.22,                0.00307,                0.00307,                0.00307
                     73,                0.83627,                0.59364,                 1.1354,                0.83532,                0.82626,                0.88342,                0.65702,                0.98729,                0.67175,                 1.2205,               0.002971,               0.002971,               0.002971
                     74,                0.83337,                0.58618,                  1.137,                0.83472,                0.82645,                0.88366,                0.65749,                0.98768,                0.67153,                 1.2213,               0.002872,               0.002872,               0.002872
                     75,                 0.8253,                 0.5794,                 1.1319,                0.83427,                0.82702,                0.88339,                0.65748,                0.98784,                0.67124,                  1.222,               0.002773,               0.002773,               0.002773
                     76,                0.82173,                0.57521,                 1.1295,                0.83412,                0.82664,                0.88344,                 0.6578,                0.98793,                0.67071,                 1.2225,               0.002674,               0.002674,               0.002674
                     77,                 0.8174,                0.57326,                 1.1252,                0.83736,                0.82433,                0.88366,                0.65795,                0.98831,                0.67075,                 1.2232,               0.002575,               0.002575,               0.002575
                     78,                0.81366,                0.56618,                 1.1219,                 0.8376,                0.82505,                0.88381,                 0.6583,                0.98853,                 0.6707,                 1.2236,               0.002476,               0.002476,               0.002476
                     79,                0.80613,                0.56232,                 1.1199,                0.83823,                 0.8245,                0.88405,                0.65832,                0.98831,                0.67017,                 1.2237,               0.002377,               0.002377,               0.002377
                     80,                0.79717,                0.55411,                 1.1139,                0.83731,                 0.8247,                0.88407,                0.65841,                0.98874,                0.66977,                 1.2246,               0.002278,               0.002278,               0.002278
                     81,                0.79409,                0.54823,                 1.1129,                0.83742,                0.82486,                0.88387,                0.65849,                0.98894,                0.66974,                 1.2251,               0.002179,               0.002179,               0.002179
                     82,                0.79056,                0.54546,                 1.1075,                0.83734,                0.82541,                0.88381,                 0.6586,                0.98908,                 0.6695,                 1.2255,                0.00208,                0.00208,                0.00208
                     83,                0.78722,                 0.5383,                 1.1029,                0.83947,                0.82438,                0.88373,                0.65863,                 0.9893,                0.66925,                 1.2258,               0.001981,               0.001981,               0.001981
                     84,                0.77842,                0.53129,                 1.0983,                0.83822,                  0.825,                0.88387,                0.65898,                0.98965,                0.66923,                 1.2264,               0.001882,               0.001882,               0.001882
                     85,                0.77551,                0.53009,                 1.1007,                0.83924,                0.82494,                  0.884,                0.65889,                0.98983,                0.66945,                  1.227,               0.001783,               0.001783,               0.001783
                     86,                0.70723,                0.39488,                 1.0549,                0.83988,                0.82451,                0.88393,                0.65917,                0.99018,                 0.6691,                 1.2277,               0.001684,               0.001684,               0.001684
                     87,                0.69257,                0.38003,                 1.0465,                0.83934,                0.82486,                 0.8838,                0.65953,                0.99024,                0.66904,                 1.2284,               0.001585,               0.001585,               0.001585
                     88,                0.68201,                0.37328,                 1.0423,                0.84043,                  0.824,                0.88392,                0.65999,                0.99007,                0.66955,                 1.2288,               0.001486,               0.001486,               0.001486
                     89,                0.66785,                 0.3626,                 1.0317,                0.84031,                0.82403,                0.88405,                0.66029,                0.98996,                0.66957,                 1.2293,               0.001387,               0.001387,               0.001387
                     90,                0.65927,                0.35604,                  1.027,                0.84076,                0.82524,                0.88389,                0.66101,                 0.9889,                 0.6697,                 1.2288,               0.001288,               0.001288,               0.001288
                     91,                0.65211,                0.34982,                  1.023,                0.84006,                0.82564,                0.88357,                0.66103,                0.98877,                 0.6694,                 1.2294,               0.001189,               0.001189,               0.001189
                     92,                0.64454,                0.34557,                  1.017,                0.84308,                0.82272,                0.88384,                0.66148,                0.98887,                0.66949,                 1.2303,                0.00109,                0.00109,                0.00109
                     93,                0.63368,                0.33766,                 1.0084,                0.84578,                0.82009,                0.88396,                0.66177,                0.98919,                0.66952,                 1.2313,               0.000991,               0.000991,               0.000991
                     94,                0.62775,                0.33364,                  1.002,                0.84312,                0.82274,                0.88405,                  0.662,                0.98988,                0.67003,                 1.2325,               0.000892,               0.000892,               0.000892
                     95,                0.61763,                0.32649,                0.99969,                0.84107,                0.82494,                0.88399,                0.66243,                0.99029,                0.67022,                 1.2335,               0.000793,               0.000793,               0.000793
                     96,                0.61123,                0.32074,                0.99696,                0.84239,                0.82331,                0.88421,                0.66254,                0.99053,                0.67044,                 1.2345,               0.000694,               0.000694,               0.000694
                     97,                 0.6026,                0.31535,                0.99001,                0.84819,                0.81838,                0.88419,                 0.6627,                0.99092,                0.67101,                 1.2356,               0.000595,               0.000595,               0.000595
                     98,                0.59731,                0.31198,                0.98748,                0.84881,                0.81827,                0.88422,                0.66288,                0.99164,                0.67101,                 1.2371,               0.000496,               0.000496,               0.000496
                     99,                0.58957,                0.30651,                0.98544,                0.84914,                 0.8187,                0.88426,                0.66309,                0.99209,                0.67141,                 1.2386,               0.000397,               0.000397,               0.000397
                    100,                0.58249,                0.30145,                0.98224,                0.84685,                0.82177,                  0.884,                0.66349,                0.99286,                0.67225,                 1.2402,               0.000298,               0.000298,               0.000298
